NAME,SPECS,PRICE,RATING
"Samsung Galaxy J2 Core (Gold, 8 GB)","1 GB RAM , 8 GB ROM , Expandable Upto 256 GB12.7 cm (5 inch) quarter HD Display8MP Rear Camera , 5MP Front Camera2600 mAh BatteryExynos 7570 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",5490,4.1
"Samsung Galaxy A20 (Red, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) HD+ Display13MP + 5MP , 8MP Front Camera4000 mAh Lithium-ion BatteryExynos 7884B ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",11490,4
"Samsung Galaxy On Nxt (Gold, 64 GB)","3 GB RAM , 64 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) Full HD Display13MP Rear Camera , 8MP Front Camera3300 mAh Li-ion BatteryExynos 7870 Octa Core 1.6 GHz ProcessorBrand Warranty of 1 Year",10990,4.1
"Samsung Galaxy J6 Plus (Red, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB15.24 cm (6 inch) HD+ Display13MP + 5MP , 8MP Front Camera3300 mAh BatteryQualcomm Snapdragon SD425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",12990,4
"Samsung Galaxy J6 (Black, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 256 GB14.22 cm (5.6 inch) HD+ Display13MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 7870 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",10490,4.1
"Samsung Galaxy J8 (Blue, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB15.24 cm (6 inch) HD+ Display16MP + 5MP , 16MP Front Camera3500 mAh BatteryQualcomm Snapdragon SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",14990,4
Samsung Guru FM Plus,3.81 cm (1.5 inch) QVGA Display0MP Front Camera800 mAh Batteryno Processor1 Year Manufacturer Warranty,1499,4.1
"Samsung Galaxy J8 (Black, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB15.24 cm (6 inch) HD+ Display16MP + 5MP , 16MP Front Camera3500 mAh BatteryQualcomm Snapdragon SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",14990,4
"Samsung Galaxy J4 (Gold, 16 GB)","2 GB RAM , 16 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera , 5MP Front Camera3000 mAh BatteryExynos 7570 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",7990,4.1
"Samsung Galaxy J4 (Blue, 16 GB)","2 GB RAM , 16 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera , 5MP Front Camera3000 mAh BatteryExynos 7570 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8745,4
